fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento_txt,overflow
2020-01-01,1.13,40.6,0.0,NO,0
2020-01-02,1.1,38.6,0.0,NO,0
2020-01-03,1.13,40.9,0.0,NO,0
2020-01-04,1.1,38.3,0.0,NO,0
2020-01-05,1.08,37.1,0.0,NO,0
2020-01-06,1.07,35.9,0.0,NO,0
2020-01-07,1.04,34.2,0.0,NO,0
2020-01-08,1.04,33.4,0.0,NO,0
2020-01-09,1.01,29.4,2.6,NO,0
2020-01-10,1.0,28.6,0.4,NO,0
2020-01-11,0.99,28.4,0.0,NO,0
2020-01-12,1.01,29.9,0.0,NO,0
2020-01-13,1.01,30.3,0.0,NO,0
2020-01-14,1.01,30.3,0.0,NO,0
2020-01-15,0.98,27.3,0.0,NO,0
2020-01-16,0.97,26.4,1.4,NO,0
2020-01-17,0.97,26.5,0.0,NO,0
2020-01-18,0.97,26.4,19.0,NO,0
2020-01-19,1.04,31.7,0.2,NO,0
2020-01-20,1.24,42.8,0.0,NO,0
2020-01-21,1.09,37.1,5.4,NO,0
2020-01-22,1.06,35.9,0.0,NO,0
2020-01-23,1.07,37.2,0.0,NO,0
2020-01-24,1.06,36.5,0.0,NO,0
2020-01-25,1.02,32.5,3.8,NO,0
2020-01-26,1.02,32.4,0.0,NO,0
2020-01-27,1.01,31.4,0.8,NO,0
2020-01-28,1.01,31.3,0.0,NO,0
2020-01-29,1.02,32.8,0.2,NO,0
2020-01-30,1.02,31.9,0.2,NO,0
2020-01-31,1.03,34.9,0.0,NO,0
2020-02-01,1.05,37.2,0.0,NO,0
2020-02-02,1.05,36.7,0.0,NO,0
2020-02-03,1.04,36.2,0.0,NO,0
2020-02-04,1.03,35.3,0.0,NO,0
2020-02-05,1.0,31.5,0.0,NO,0
2020-02-06,0.99,29.7,0.0,NO,0
2020-02-07,1.01,31.8,0.0,NO,0
2020-02-08,0.98,29.7,2.8,NO,0
2020-02-09,0.96,27.2,0.0,NO,0
2020-02-10,0.95,26.1,0.0,NO,0
2020-02-11,0.95,26.5,0.6,NO,0
2020-02-12,0.96,27.0,0.0,NO,0
2020-02-13,0.96,27.6,0.0,NO,0
2020-02-14,0.94,24.8,0.0,NO,0
2020-02-15,0.91,21.2,0.0,NO,0
2020-02-16,0.89,18.7,0.0,NO,0
2020-02-17,0.91,21.2,4.0,NO,0
2020-02-18,0.92,22.2,0.2,NO,0
2020-02-19,0.94,24.7,0.0,NO,0
2020-02-20,0.98,29.5,0.0,NO,0
2020-02-21,0.92,21.8,0.0,NO,0
2020-02-22,0.91,21.3,0.0,NO,0
2020-02-23,0.89,19.7,0.0,NO,0
2020-02-24,0.89,19.9,0.0,NO,0
2020-02-25,0.89,19.8,0.0,NO,0
2020-02-26,0.89,19.7,0.0,NO,0
2020-02-27,0.89,19.6,0.0,NO,0
2020-02-28,0.89,19.7,0.0,NO,0
2020-02-29,0.89,19.7,0.0,NO,0
2020-03-01,0.9,19.7,18.4,NO,0
2020-03-02,0.92,21.4,3.6,NO,0
2020-03-03,1.06,35.2,1.6,NO,0
2020-03-04,1.15,43.8,0.0,NO,0
2020-03-05,1.16,44.2,2.2,NO,0
2020-03-06,1.09,37.8,12.0,NO,0
2020-03-07,1.35,57.1,0.0,NO,0
2020-03-08,1.72,89.9,0.2,NO,0
2020-03-09,1.5,65.6,0.4,NO,0
2020-03-10,1.36,58.2,0.0,NO,0
2020-03-11,1.22,48.6,0.0,NO,0
2020-03-12,1.12,41.9,0.0,NO,0
2020-03-13,1.11,39.7,0.0,NO,0
2020-03-14,1.08,37.3,0.0,NO,0
2020-03-15,1.07,35.9,19.8,NO,0
2020-03-16,1.11,39.6,14.4,NO,0
2020-03-17,1.7,86.5,0.0,NO,0
2020-03-18,1.57,74.0,0.0,NO,0
2020-03-19,1.42,63.7,0.0,NO,0
2020-03-20,1.11,36.8,0.0,NO,0
2020-03-21,1.08,36.1,0.0,NO,0
2020-03-22,1.05,33.2,0.0,NO,0
2020-03-23,1.02,29.4,0.0,NO,0
2020-03-24,1.02,29.7,0.0,NO,0
2020-03-25,1.01,28.9,0.0,NO,0
2020-03-26,1.02,29.5,0.0,NO,0
2020-03-27,1.02,29.1,0.0,NO,0
2020-03-28,1.0,27.3,0.0,NO,0
2020-03-29,0.96,20.3,0.0,NO,0
2020-03-30,0.92,18.8,0.0,NO,0
2020-03-31,0.92,18.9,4.6,NO,0
2020-04-01,0.94,19.6,3.6,NO,0
2020-04-02,1.01,27.0,0.0,NO,0
2020-04-03,1.0,21.1,0.0,NO,0
2020-04-04,1.0,26.7,0.0,NO,0
2020-04-05,1.0,27.4,1.0,NO,0
2020-04-06,0.99,25.5,5.2,NO,0
2020-04-07,0.96,21.7,0.0,NO,0
2020-04-08,1.05,32.3,0.0,NO,0
2020-04-09,1.06,33.2,1.0,NO,0
2020-04-10,1.01,27.1,0.8,NO,0
2020-04-11,1.3,53.7,1.6,NO,0
2020-04-12,1.85,110.7,1.8,NO,0
2020-04-13,1.94,124.4,1.0,NO,0
2020-04-14,1.8,103.8,1.6,NO,0
2020-04-15,1.49,61.0,1.4,NO,0
