fecha,nivel (m),caudal (m³/s),desbordamiento,lluvia,lluvia_mm,municipio,nivel_interpolado,caudal_interpolado,lluvia_interpolada,dato_original_completo
2020-01-01,0.23,1.22,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-02,0.23,1.18,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-03,0.23,1.18,0.0,0.8,0.8,Arroyo,0,0,0,1
2020-01-04,0.23,1.18,0.0,0.6,0.6,Arroyo,0,0,0,1
2020-01-05,0.23,1.18,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-06,0.23,1.18,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-07,0.23,1.14,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-08,0.27,1.53,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-09,0.3,1.86,0.0,0.6,0.6,Arroyo,0,0,0,1
2020-01-10,0.3,1.84,0.0,2.6,2.6,Arroyo,0,0,0,1
2020-01-11,0.3,1.84,0.0,0.2,0.2,Arroyo,0,0,0,1
2020-01-12,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-13,0.3,1.8,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-14,0.29,1.79,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-15,0.29,1.79,0.0,0.2,0.2,Arroyo,0,0,0,1
2020-01-16,0.29,1.75,0.0,5.4,5.4,Arroyo,0,0,0,1
2020-01-17,0.29,1.75,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-18,0.29,1.77,0.0,11.0,11.0,Arroyo,0,0,0,1
2020-01-19,0.3,1.82,0.0,0.4,0.4,Arroyo,0,0,0,1
2020-01-20,0.29,1.75,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-21,0.3,1.87,0.0,1.0,1.0,Arroyo,0,0,0,1
2020-01-22,0.3,1.84,0.0,0.4,0.4,Arroyo,0,0,0,1
2020-01-23,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-24,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-25,0.3,1.84,0.0,0.8,0.8,Arroyo,0,0,0,1
2020-01-26,0.3,1.84,0.0,0.2,0.2,Arroyo,0,0,0,1
2020-01-27,0.3,1.84,0.0,2.0,2.0,Arroyo,0,0,0,1
2020-01-28,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-29,0.32,2.02,0.0,4.2,4.2,Arroyo,0,0,0,1
2020-01-30,0.3,1.85,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-01-31,0.3,1.84,0.0,0.4,0.4,Arroyo,0,0,0,1
2020-02-01,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-02,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-03,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-04,0.3,1.84,0.0,0.2,0.2,Arroyo,0,0,0,1
2020-02-05,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-06,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-07,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-08,0.3,1.84,0.0,3.0,3.0,Arroyo,0,0,0,1
2020-02-09,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-10,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-11,0.3,1.84,0.0,1.6,1.6,Arroyo,0,0,0,1
2020-02-12,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-13,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-14,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-15,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-16,0.3,1.84,0.0,1.8,1.8,Arroyo,0,0,0,1
2020-02-17,0.3,1.85,0.0,4.6,4.6,Arroyo,0,0,0,1
2020-02-18,0.33,2.33,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-19,0.3,1.84,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-20,0.3,1.81,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-21,0.29,1.75,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-22,0.29,1.75,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-23,0.29,1.75,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-24,0.29,1.79,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-25,0.3,1.88,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-26,0.29,1.79,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-27,0.29,1.75,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-02-28,0.29,1.75,0.0,0.4,0.4,Arroyo,0,0,0,1
2020-02-29,0.29,1.75,0.0,3.2,3.2,Arroyo,0,0,0,1
2020-03-01,0.29,1.75,0.0,23.2,23.2,Arroyo,0,0,0,1
2020-03-02,0.3,1.79,0.0,2.0,2.0,Arroyo,0,0,0,1
2020-03-03,0.27,1.52,0.0,0.4,0.4,Arroyo,0,0,0,1
2020-03-04,0.23,1.19,0.0,0.0,0.0,Arroyo,0,0,0,1
2020-03-05,0.22,1.13,0.0,2.4,2.4,Arroyo,0,0,0,1
2020-03-06,0.25,1.34,0.0,9.0,9.0,Arroyo,0,0,0,1
2020-03-07,0.25,1.37,0.0,1.6,1.6,Arroyo,0,0,0,1
2020-03-08,0.25,1.37,0.0,0.0,0.0,Arroyo,0,0,0,1
