fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento,caudal_log,nivel_lag1,caudal_lag1,lluvia_3d,lluvia_7d
2020-01-07,0.96,49.38,0.0,0,3.919594270924464,0.96,3.9243467551169777,0.0,0.0
2020-01-08,0.95,47.54,0.0,0,3.8823882002984553,0.96,3.919594270924464,0.0,0.0
2020-01-09,1.29,167.0,4.8,0,5.123963979403259,0.95,3.8823882002984553,4.8,4.8
2020-01-10,0.94,43.76,0.3,0,3.8013148834437245,1.29,5.123963979403259,5.1,5.1
2020-01-11,0.94,43.36,0.0,0,3.7923381624821664,0.94,3.8013148834437245,5.1,5.1
2020-01-12,0.94,43.23,0.0,0,3.789403291880235,0.94,3.7923381624821664,0.3,5.1
2020-01-13,0.94,43.89,0.0,0,3.804215052793841,0.94,3.789403291880235,0.0,5.1
2020-01-14,0.95,43.65,0.0,0,3.798854307322508,0.94,3.804215052793841,0.0,5.1
2020-01-15,0.94,43.46,0.0,0,3.7945899085360506,0.95,3.798854307322508,0.0,5.1
2020-01-16,0.94,41.46,0.0,0,3.74856245627511,0.94,3.7945899085360506,0.0,0.3
2020-01-17,0.95,43.06,0.1,0,3.785552341374197,0.94,3.74856245627511,0.1,0.1
2020-01-18,0.94,41.8,12.6,0,3.756538102587751,0.95,3.785552341374197,12.7,12.7
2020-01-19,1.09,50.86,0.0,0,3.9485477801105184,0.94,3.756538102587751,12.7,12.7
2020-01-20,1.02,66.69,0.0,0,4.214938458520516,1.09,3.9485477801105184,12.6,12.7
2020-01-21,1.01,63.58,5.7,0,4.167904765330129,1.02,4.214938458520516,5.7,18.4
2020-01-22,1.06,92.16,1.4,0,4.53431844501614,1.01,4.167904765330129,7.1,19.8
2020-01-23,0.98,100.25,0.0,0,4.617592705986649,1.06,4.53431844501614,7.1,19.8
2020-01-24,1.02,114.22,0.0,0,4.746843344304237,0.98,4.617592705986649,1.4,19.7
2020-01-25,0.95,84.79,2.3,0,4.451902449584874,1.02,4.746843344304237,2.3,9.4
2020-01-26,0.97,82.36,0.0,0,4.423168578005057,0.95,4.451902449584874,2.3,9.4
2020-01-27,0.96,82.33,0.0,0,4.422808628394115,0.97,4.423168578005057,2.3,9.4
2020-01-28,0.96,80.98,0.0,0,4.406475315076191,0.96,4.422808628394115,0.0,3.6999999999999997
2020-01-29,0.95,89.81,1.8,0,4.508769411701737,0.96,4.406475315076191,1.8,4.1
2020-01-30,0.96,92.74,0.0,0,4.54052499249456,0.95,4.508769411701737,1.8,4.1
2020-01-31,0.96,102.32,1.4,0,4.6378309682276395,0.96,4.54052499249456,3.2,5.5
