fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento,caudal_log,nivel_lag1,caudal_lag1,lluvia_3d,lluvia_7d
2020-01-07,1.1,78.6,0.0,0,4.377014092850337,1.1,4.377014092850337,0.0,0.0
2020-01-08,1.08,74.1,0.0,0,4.318820558770089,1.1,4.377014092850337,0.0,0.0
2020-01-09,1.12,83.1,4.8,0,4.432006566978902,1.08,4.318820558770089,4.8,4.8
2020-01-10,1.05,67.4,0.3,0,4.225372824628505,1.12,4.432006566978902,5.1,5.1
2020-01-11,1.02,60.6,0.0,0,4.120661870539474,1.05,4.225372824628505,5.1,5.1
2020-01-12,1.03,62.9,0.0,0,4.157319361383489,1.02,4.120661870539474,0.3,5.1
2020-01-13,1.03,62.9,0.0,0,4.157319361383489,1.03,4.157319361383489,0.0,5.1
2020-01-14,1.02,60.6,0.0,0,4.120661870539474,1.03,4.157319361383489,0.0,5.1
2020-01-15,1.04,65.1,0.0,0,4.191168746857641,1.02,4.120661870539474,0.0,5.1
2020-01-16,1.0,56.2,0.0,0,4.046553898385752,1.04,4.191168746857641,0.0,0.3
2020-01-17,0.99,53.9,0.1,0,4.005513348515485,1.0,4.046553898385752,0.1,0.1
2020-01-18,1.0,56.2,12.6,0,4.046553898385752,0.99,4.005513348515485,12.7,12.7
2020-01-19,1.1,78.6,0.0,0,4.377014092850337,1.0,4.046553898385752,12.7,12.7
2020-01-20,1.29,121.3,0.0,0,4.8064770426931265,1.1,4.377014092850337,12.6,12.7
2020-01-21,1.24,110.0,5.7,0,4.709530201312334,1.29,4.8064770426931265,5.7,18.4
2020-01-22,1.15,89.8,1.4,0,4.508659285607248,1.24,4.709530201312334,7.1,19.8
2020-01-23,1.13,85.3,0.0,0,4.457829598089382,1.15,4.508659285607248,7.1,19.8
2020-01-24,1.14,87.6,0.0,0,4.484131857611035,1.13,4.457829598089382,1.4,19.7
2020-01-25,1.09,76.4,2.3,0,4.3489867805956814,1.14,4.484131857611035,2.3,9.4
2020-01-26,1.08,74.1,0.0,0,4.318820558770089,1.09,4.3489867805956814,2.3,9.4
2020-01-27,1.08,74.1,0.0,0,4.318820558770089,1.08,4.318820558770089,2.3,9.4
2020-01-28,1.09,76.4,0.0,0,4.3489867805956814,1.08,4.318820558770089,0.0,3.6999999999999997
2020-01-29,1.19,98.8,1.8,0,4.603168183317418,1.09,4.3489867805956814,1.8,4.1
2020-01-30,1.15,89.8,0.0,0,4.508659285607248,1.19,4.603168183317418,1.8,4.1
2020-01-31,1.16,92.1,1.4,0,4.533674184283021,1.15,4.508659285607248,3.2,5.5
2020-02-01,1.28,119.0,0.0,0,4.787491742782046,1.16,4.533674184283021,1.4,3.2
2020-02-02,1.2,101.1,0.0,0,4.625952725170619,1.28,4.787491742782046,1.4,3.2
2020-02-03,1.16,92.1,0.0,0,4.533674184283021,1.2,4.625952725170619,0.0,3.2
2020-02-04,1.15,89.8,0.0,0,4.508659285607248,1.16,4.533674184283021,0.0,3.2
2020-02-05,1.15,89.8,0.0,0,4.508659285607248,1.15,4.508659285607248,0.0,1.4
2020-02-06,1.1,78.6,0.0,0,4.377014092850337,1.15,4.508659285607248,0.0,1.4
2020-02-07,1.2,101.1,0.0,0,4.625952725170619,1.1,4.377014092850337,0.0,0.0
2020-02-08,1.14,87.6,1.0,0,4.484131857611035,1.2,4.625952725170619,1.0,1.0
2020-02-09,1.07,71.9,0.0,0,4.289088639014612,1.14,4.484131857611035,1.0,1.0
2020-02-10,1.07,71.9,0.0,0,4.289088639014612,1.07,4.289088639014612,1.0,1.0
2020-02-11,1.03,62.9,0.2,0,4.157319361383489,1.07,4.289088639014612,0.2,1.2
2020-02-12,1.01,58.4,0.0,0,4.084294226368599,1.03,4.157319361383489,0.2,1.2
2020-02-13,1.08,74.1,0.0,0,4.318820558770089,1.01,4.084294226368599,0.2,1.2
2020-02-14,1.01,58.4,0.0,0,4.084294226368599,1.08,4.318820558770089,0.0,1.2
2020-02-15,1.0,56.2,0.0,0,4.046553898385752,1.01,4.084294226368599,0.0,0.2
2020-02-16,1.0,56.2,0.0,0,4.046553898385752,1.0,4.046553898385752,0.0,0.2
2020-02-17,0.98,51.7,1.4,0,3.9646154555473165,1.0,4.046553898385752,1.4,1.5999999999999999
2020-02-18,0.98,51.7,0.0,0,3.9646154555473165,0.98,3.9646154555473165,1.4,1.4
2020-02-19,0.98,51.7,0.0,0,3.9646154555473165,0.98,3.9646154555473165,1.4,1.4
2020-02-20,1.0,56.2,0.0,0,4.046553898385752,0.98,3.9646154555473165,0.0,1.4
2020-02-21,1.0,56.2,0.0,0,4.046553898385752,1.0,4.046553898385752,0.0,1.4
2020-02-22,0.98,51.7,0.0,0,3.9646154555473165,1.0,4.046553898385752,0.0,1.4
2020-02-23,0.96,47.2,0.0,0,3.8753590210565547,0.98,3.9646154555473165,0.0,1.4
2020-02-24,0.96,47.2,0.0,0,3.8753590210565547,0.96,3.8753590210565547,0.0,0.0
2020-02-25,1.1,78.6,0.0,0,4.377014092850337,0.96,3.8753590210565547,0.0,0.0
2020-02-26,0.95,44.9,0.0,0,3.8264651170664994,1.1,4.377014092850337,0.0,0.0
2020-02-27,0.95,44.9,0.0,0,3.8264651170664994,0.95,3.8264651170664994,0.0,0.0
2020-02-28,0.95,44.9,0.0,0,3.8264651170664994,0.95,3.8264651170664994,0.0,0.0
2020-02-29,0.95,44.9,0.0,0,3.8264651170664994,0.95,3.8264651170664994,0.0,0.0
2020-03-01,0.95,44.9,4.8,0,3.8264651170664994,0.95,3.8264651170664994,4.8,4.8
2020-03-02,1.14,87.6,2.7,0,4.484131857611035,0.95,3.8264651170664994,7.5,7.5
2020-03-03,1.16,92.1,1.9,0,4.533674184283021,1.14,4.484131857611035,9.4,9.4
2020-03-04,1.14,87.6,0.0,0,4.484131857611035,1.16,4.533674184283021,4.6,9.4
2020-03-05,1.23,107.8,3.5,0,4.689511334421843,1.14,4.484131857611035,5.4,12.9
2020-03-06,1.2,101.1,4.9,0,4.625952725170619,1.23,4.689511334421843,8.4,17.8
2020-03-07,1.37,139.2,0.0,0,4.94306997460049,1.2,4.625952725170619,8.4,17.8
2020-03-08,1.71,218.2,0.0,0,5.389984555073861,1.37,4.94306997460049,4.9,13.0
2020-03-09,1.63,199.2,0.0,0,5.29931686688112,1.71,5.389984555073861,0.0,10.3
2020-03-10,1.4,146.0,0.0,0,4.990432586778736,1.63,5.29931686688112,0.0,8.4
2020-03-11,1.42,150.4,0.0,0,5.019925341003349,1.4,4.990432586778736,0.0,8.4
2020-03-12,1.23,107.8,0.1,0,4.689511334421843,1.42,5.019925341003349,0.1,5.0
2020-03-13,1.15,89.8,0.0,0,4.508659285607248,1.23,4.689511334421843,0.1,0.1
2020-03-14,1.14,87.6,0.0,0,4.484131857611035,1.15,4.508659285607248,0.1,0.1
2020-03-15,1.24,110.0,30.0,0,4.709530201312334,1.14,4.484131857611035,30.0,30.1
2020-03-16,1.63,199.2,42.7,0,5.29931686688112,1.24,4.709530201312334,72.7,72.80000000000001
2020-03-17,2.63,448.7,0.0,0,6.108580693776662,1.63,5.29931686688112,72.7,72.80000000000001
2020-03-18,2.44,396.1,0.0,0,5.984188138137206,2.63,6.108580693776662,42.7,72.80000000000001
2020-03-19,2.0,287.0,0.0,0,5.662960480135946,2.44,5.984188138137206,0.0,72.70000000000002
2020-03-20,1.82,244.3,0.0,0,5.502481951264444,2.0,5.662960480135946,0.0,72.70000000000002
2020-03-21,1.57,185.0,0.0,0,5.225746673713202,1.82,5.502481951264444,0.0,72.70000000000002
2020-03-22,1.48,163.9,0.2,0,5.105339229565553,1.57,5.225746673713202,0.2,42.900000000000006
2020-03-23,1.48,163.9,0.5,0,5.105339229565553,1.48,5.105339229565553,0.7,0.7
2020-03-24,1.37,139.2,0.0,0,4.94306997460049,1.48,5.105339229565553,0.7,0.7
2020-03-25,1.26,114.5,0.0,0,4.749270529961848,1.37,4.94306997460049,0.5,0.7
2020-03-26,1.21,103.3,0.0,0,4.647271362006727,1.26,4.749270529961848,0.0,0.7
2020-03-27,1.23,107.8,0.0,0,4.689511334421843,1.21,4.647271362006727,0.0,0.7
2020-03-28,1.19,98.8,0.0,0,4.603168183317418,1.23,4.689511334421843,0.0,0.7
2020-03-29,1.15,89.8,0.0,0,4.508659285607248,1.19,4.603168183317418,0.0,0.5
2020-03-30,1.1,78.6,0.8,0,4.377014092850337,1.15,4.508659285607248,0.8,0.8
2020-03-31,1.05,67.4,10.2,0,4.225372824628505,1.1,4.377014092850337,11.0,11.0
2020-04-01,1.17,94.3,11.5,0,4.557029810660157,1.05,4.225372824628505,22.5,22.5
2020-04-02,1.19,98.8,0.0,0,4.603168183317418,1.17,4.557029810660157,21.7,22.5
2020-04-03,1.22,105.5,0.0,0,4.66814498514948,1.19,4.603168183317418,11.5,22.5
2020-04-04,1.13,85.3,0.0,0,4.457829598089382,1.22,4.66814498514948,0.0,22.5
2020-04-05,1.11,80.8,0.1,0,4.404277243608702,1.13,4.457829598089382,0.1,22.6
2020-04-06,1.1,78.6,5.8,0,4.377014092850337,1.11,4.404277243608702,5.8999999999999995,27.599999999999998
2020-04-07,1.19,98.8,0.9,0,4.603168183317418,1.1,4.377014092850337,6.8,18.3
2020-04-08,1.22,105.5,0.0,0,4.66814498514948,1.19,4.603168183317418,6.7,6.8
2020-04-09,1.13,85.3,0.0,0,4.457829598089382,1.22,4.66814498514948,0.9,6.8
2020-04-10,1.13,85.3,0.2,0,4.457829598089382,1.13,4.457829598089382,0.2,6.999999999999999
2020-04-11,1.1,78.6,22.7,0,4.377014092850337,1.13,4.457829598089382,22.9,29.7
