fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento,caudal_log,nivel_lag1,caudal_lag1,lluvia_3d,lluvia_7d
2020-01-07,1.95,368.0,0.0,0,5.910796644040527,1.95,5.910796644040527,0.0,0.0
2020-01-08,2.06,404.0,0.0,0,6.003887067106539,1.95,5.910796644040527,0.0,0.0
2020-01-09,2.13,429.0,0.0,0,6.063785208687608,2.06,6.003887067106539,0.0,0.0
2020-01-10,2.16,440.0,0.0,0,6.089044875446846,2.13,6.063785208687608,0.0,0.0
2020-01-11,2.18,448.0,0.0,0,6.1070228877422545,2.16,6.089044875446846,0.0,0.0
2020-01-12,2.15,437.0,0.0,0,6.082218910376446,2.18,6.1070228877422545,0.0,0.0
2020-01-13,2.15,437.0,0.0,0,6.082218910376446,2.15,6.082218910376446,0.0,0.0
2020-01-14,2.07,407.0,0.0,0,6.0112671744041615,2.15,6.082218910376446,0.0,0.0
2020-01-15,1.98,376.0,0.0,0,5.932245187448011,2.07,6.0112671744041615,0.0,0.0
2020-01-16,1.98,376.0,0.0,0,5.932245187448011,1.98,5.932245187448011,0.0,0.0
2020-01-17,1.96,371.0,0.0,0,5.918893854273146,1.98,5.932245187448011,0.0,0.0
2020-01-18,1.96,371.0,6.2,0,5.918893854273146,1.96,5.918893854273146,6.2,6.2
2020-01-19,2.07,407.0,10.6,0,6.0112671744041615,1.96,5.918893854273146,16.8,16.8
2020-01-20,2.26,477.0,69.6,0,6.169610732491456,2.07,6.0112671744041615,86.39999999999999,86.39999999999999
2020-01-21,2.9,716.0,137.2,0,6.57507584059962,2.26,6.169610732491456,217.39999999999998,223.59999999999997
2020-01-22,2.86,701.0,17.4,0,6.553933404025811,2.9,6.57507584059962,224.2,240.99999999999997
2020-01-23,3.23,850.0,0.0,0,6.7464121285733745,2.86,6.553933404025811,154.6,240.99999999999997
2020-01-24,2.74,655.0,0.0,0,6.486160788944089,3.23,6.7464121285733745,17.4,240.99999999999997
2020-01-25,2.98,746.0,0.2,0,6.616065185132817,2.74,6.486160788944089,0.2,234.99999999999997
2020-01-26,2.28,484.0,0.0,0,6.184148890937483,2.98,6.616065185132817,0.2,224.39999999999995
2020-01-27,2.09,415.0,0.0,0,6.030685260261263,2.28,6.184148890937483,0.2,154.79999999999995
2020-01-28,2.07,407.0,0.0,0,6.0112671744041615,2.09,6.030685260261263,0.0,17.59999999999997
2020-01-29,2.5,564.0,0.0,0,6.336825731146441,2.07,6.0112671744041615,0.0,0.1999999999999716
2020-01-30,2.8,678.0,0.0,0,6.520621127558696,2.5,6.336825731146441,0.0,0.1999999999999716
2020-01-31,2.88,708.0,0.0,0,6.5638555265321274,2.8,6.520621127558696,0.0,0.1999999999999716
2020-02-01,2.79,674.0,0.0,0,6.51471269087253,2.88,6.5638555265321274,0.0,0.0
2020-02-02,2.73,651.0,0.0,0,6.480044561926653,2.79,6.51471269087253,0.0,0.0
2020-02-03,2.69,636.0,0.0,0,6.456769655572163,2.73,6.480044561926653,0.0,0.0
2020-02-04,2.64,617.0,0.0,0,6.42648845745769,2.69,6.456769655572163,0.0,0.0
2020-02-05,1.91,357.0,0.0,0,5.8805329864007,2.64,6.42648845745769,0.0,0.0
2020-02-06,2.66,625.0,0.0,0,6.439350371100098,1.91,5.8805329864007,0.0,0.0
2020-02-07,2.66,625.0,0.0,0,6.439350371100098,2.66,6.439350371100098,0.0,0.0
2020-02-08,2.53,575.0,0.0,0,6.3561076606958915,2.66,6.439350371100098,0.0,0.0
2020-02-09,2.45,546.0,0.0,0,6.304448802421981,2.53,6.3561076606958915,0.0,0.0
2020-02-10,2.43,539.0,0.0,0,6.29156913955832,2.45,6.304448802421981,0.0,0.0
2020-02-11,2.46,549.0,0.0,0,6.309918278226516,2.43,6.29156913955832,0.0,0.0
2020-02-12,2.5,564.0,0.4,0,6.336825731146441,2.46,6.309918278226516,0.4,0.3999999999999716
2020-02-13,2.5,564.0,0.0,0,6.336825731146441,2.5,6.336825731146441,0.4,0.3999999999999716
2020-02-14,2.48,557.0,0.0,0,6.324358962381311,2.5,6.336825731146441,0.4,0.3999999999999716
2020-02-15,2.25,473.0,0.0,0,6.161207321695077,2.48,6.324358962381311,0.0,0.3999999999999716
2020-02-16,1.91,357.0,0.0,0,5.8805329864007,2.25,6.161207321695077,0.0,0.3999999999999716
2020-02-17,1.92,359.0,0.0,0,5.886104031450156,1.91,5.8805329864007,0.0,0.3999999999999716
2020-02-18,1.92,359.0,0.0,0,5.886104031450156,1.92,5.886104031450156,0.0,0.3999999999999716
2020-02-19,1.89,351.0,0.0,0,5.863631175598097,1.92,5.886104031450156,0.0,0.0
2020-02-20,1.95,368.0,0.0,0,5.910796644040527,1.89,5.863631175598097,0.0,0.0
2020-02-21,1.96,371.0,0.0,0,5.918893854273146,1.95,5.910796644040527,0.0,0.0
2020-02-22,1.94,365.0,0.0,0,5.902633333401366,1.96,5.918893854273146,0.0,0.0
2020-02-23,1.92,359.0,0.0,0,5.886104031450156,1.94,5.902633333401366,0.0,0.0
2020-02-24,1.95,368.0,0.0,0,5.910796644040527,1.92,5.886104031450156,0.0,0.0
2020-02-25,1.95,368.0,0.0,0,5.910796644040527,1.95,5.910796644040527,0.0,0.0
2020-02-26,1.94,365.0,0.0,0,5.902633333401366,1.95,5.910796644040527,0.0,0.0
2020-02-27,1.73,306.0,0.0,0,5.726847747587197,1.94,5.902633333401366,0.0,0.0
2020-02-28,1.58,264.0,0.0,0,5.579729825986222,1.73,5.726847747587197,0.0,0.0
2020-02-29,1.58,264.0,0.0,0,5.579729825986222,1.58,5.579729825986222,0.0,0.0
2020-03-01,1.62,275.0,0.0,0,5.62040086571715,1.58,5.579729825986222,0.0,0.0
2020-03-02,1.63,278.0,2.4,0,5.631211781821365,1.62,5.62040086571715,2.4,2.3999999999999715
2020-03-03,1.88,348.0,0.0,0,5.855071922202427,1.63,5.631211781821365,2.4,2.3999999999999715
2020-03-04,1.97,374.0,0.0,0,5.926926025970411,1.88,5.855071922202427,2.4,2.3999999999999715
2020-03-05,1.97,374.0,0.2,0,5.926926025970411,1.97,5.926926025970411,0.2,2.5999999999999717
2020-03-06,1.97,374.0,0.2,0,5.926926025970411,1.97,5.926926025970411,0.4,2.7999999999999714
2020-03-07,1.87,345.0,0.0,0,5.846438775057725,1.97,5.926926025970411,0.4,2.7999999999999714
2020-03-08,1.63,278.0,0.0,0,5.631211781821365,1.87,5.846438775057725,0.2,2.7999999999999714
2020-03-09,1.89,351.0,0.0,0,5.863631175598097,1.63,5.631211781821365,0.0,0.3999999999999716
2020-03-10,1.97,374.0,0.0,0,5.926926025970411,1.89,5.863631175598097,0.0,0.3999999999999716
2020-03-11,1.97,374.0,0.0,0,5.926926025970411,1.97,5.926926025970411,0.0,0.3999999999999716
2020-03-12,1.98,376.0,0.0,0,5.932245187448011,1.97,5.926926025970411,0.0,0.1999999999999716
2020-03-13,2.17,444.0,0.0,0,6.09807428216624,1.98,5.932245187448011,0.0,0.0
2020-03-14,2.55,583.0,0.0,0,6.369900982828227,2.17,6.09807428216624,0.0,0.0
2020-03-15,2.57,591.0,0.0,0,6.3835066348840055,2.55,6.369900982828227,0.0,0.0
2020-03-16,3.09,791.0,8.6,0,6.674561391814426,2.57,6.3835066348840055,8.6,8.599999999999971
2020-03-17,3.48,954.0,0.0,0,6.86171134048073,3.09,6.674561391814426,8.6,8.599999999999971
2020-03-18,3.45,941.0,0.0,0,6.848005274576363,3.48,6.86171134048073,8.6,8.599999999999971
2020-03-19,3.24,854.0,0.0,0,6.75110146893676,3.45,6.848005274576363,0.0,8.599999999999971
2020-03-20,3.18,829.0,0.0,0,6.721425700790643,3.24,6.75110146893676,0.0,8.599999999999971
2020-03-21,2.9,716.0,0.0,0,6.57507584059962,3.18,6.721425700790643,0.0,8.599999999999971
2020-03-22,2.92,724.0,8.8,0,6.586171654854675,2.9,6.57507584059962,8.8,17.39999999999997
2020-03-23,3.0,754.0,6.2,0,6.626717749249025,2.92,6.586171654854675,15.0,14.999999999999972
2020-03-24,3.0,754.0,0.2,0,6.626717749249025,3.0,6.626717749249025,15.200000000000001,15.199999999999973
2020-03-25,3.0,754.0,1.2,0,6.626717749249025,3.0,6.626717749249025,7.6,16.399999999999974
2020-03-26,3.0,754.0,5.6,0,6.626717749249025,3.0,6.626717749249025,6.999999999999999,21.99999999999997
2020-03-27,3.0,754.0,0.0,0,6.626717749249025,3.0,6.626717749249025,6.799999999999999,21.99999999999997
2020-03-28,2.99,750.0,0.0,0,6.621405651764134,3.0,6.626717749249025,5.6,21.99999999999997
2020-03-29,2.99,750.0,0.0,0,6.621405651764134,2.99,6.621405651764134,0.0,13.19999999999997
2020-03-30,2.98,746.0,8.4,0,6.616065185132817,2.99,6.621405651764134,8.4,15.39999999999997
2020-03-31,2.42,535.0,13.6,0,6.284134161070802,2.98,6.616065185132817,22.0,28.799999999999972
2020-04-01,2.32,498.0,41.6,0,6.212606095751519,2.42,6.284134161070802,63.6,69.19999999999997
2020-04-02,2.33,502.0,2.2,0,6.220590170099739,2.32,6.212606095751519,57.400000000000006,65.79999999999997
2020-04-03,2.19,451.0,0.0,0,6.113682179832232,2.33,6.220590170099739,43.800000000000004,65.79999999999997
2020-04-04,2.13,429.0,0.0,0,6.063785208687608,2.19,6.113682179832232,2.2,65.79999999999997
2020-04-05,2.1,418.0,0.0,0,6.037870919922137,2.13,6.063785208687608,0.0,65.79999999999997
