fecha,nivel_m,caudal_m3s,desbordamiento,lluvia,lluvia_mm,nivel_interpolado,caudal_interpolado,lluvia_interpolada,dato_original_completo,municipio_Arroyo,municipio_Asco,municipio_Castejon,municipio_Logroño,municipio_Mendavia,municipio_Miranda del Ebro,municipio_Palazuelos,municipio_Reinosa-Nestares,municipio_Riosequillo,municipio_Tortosa,municipio_Tudela,municipio_Zaragoza
2020-01-01,0.24,1.28,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,0.23,1.18,0.0,0.8,0.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,0.23,1.18,0.0,0.6,0.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,0.23,1.18,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0.3,1.84,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,0.48,4.02,0.0,0.6,0.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,0.3,1.84,0.0,2.6,2.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,0.3,1.84,0.0,0.2,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0.3,1.84,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,0.3,1.84,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,0.3,1.84,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
